                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.05.1"                               "gfortran"                                 "12.1.0"                   "x86_64-linux-20.12.1"                                 "CRMATH"                               "20220711"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                 delta_nu                                   nu_max                              num_retries                                num_iters 
                                       5                                      812                  3.3563221162677679E+005                  4.9426806100157554E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  1.9712558862786254E-002                  1.4736874533507360E-002                  9.9493838199397854E-008                  9.9999999997106281E-001                  9.9586981321091061E-001                  1.4736874533507360E-002                  9.9493838199397854E-008                  9.9999999997106281E-001                  9.9586981321091061E-001                  1.3966375087349975E-001                 -4.4616711506440737E+001                 -1.5653559774527022E+001                  1.3966375087349983E-001                  8.8046690361406721E-002                 -8.1088023431674650E-001                 -4.4616711506440737E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7922260097742244E+000                  2.4392654161666824E-001                  6.0164412124382276E-002                  4.3969200491019933E+000                  0.0000000000000000E+000                  1.7233057281487806E+001                  1.9192935701874962E+000                  7.1806992900525746E+000                  6.1523189785447108E-001                  8.5612693393608497E-001                  1.2811053972893294E+000                  7.1224393038192768E-001                  2.6875763397324209E-001                  5.2792786741978170E-004                  8.3333938137826157E-003                  3.2004041712038419E-003                  8.7097463596166099E-003                  8.5475375332734949E-001                  3.2247861747201589E-001                  1.2513670663103929E+002                  2.7224022468336170E+003                                        0                                        3 
                                      10                                      815                  1.1182111909414218E+006                  5.3385868402538792E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  5.7029429720753200E-002                  4.5312071544654997E-002                  9.9493838199397854E-008                  9.9999999997106281E-001                  9.9644540672253290E-001                  4.5312071544654997E-002                  9.9493838199397854E-008                  9.9999999997106281E-001                  9.9644540672253290E-001                  2.0294917263743117E-001                 -4.4276089270906077E+001                 -9.8999999999999986E+001                  2.0294917263743106E-001                  1.5336882896849879E-001                 -7.6407996004493428E-001                 -4.4276089270906077E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0283653247535815E+030                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7937196073589989E+000                  2.5371215082570892E-001                  6.2070021559353747E-002                  4.3931088302320500E+000                  0.0000000000000000E+000                  1.7236641618274362E+001                  1.9160936160963931E+000                  7.1875684471440273E+000                  6.1527317478196430E-001                  8.5608488563325014E-001                  1.2812180755678091E+000                  7.1215892610202991E-001                  2.6881940390454517E-001                  4.4374113811257432E-004                  8.3845581872629017E-003                  3.2002309875295452E-003                  8.7092750485583559E-003                  8.5473946484615682E-001                  3.2248765092710779E-001                  1.2426514121251344E+002                  2.6939794394885466E+003                                        0                                        3 
                                      15                                      817                  3.0655181167496392E+006                  5.7344930704920039E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  5.9125704850833738E-002                  4.7421885448079237E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9679440209853121E-001                  4.7421885448079237E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9679440209853121E-001                  2.2202521391048038E-001                 -4.4082545121726803E+001                 -9.8999999999999986E+001                  2.2202521391048038E-001                  1.8653504526675754E-001                 -8.8327528264172239E-001                 -4.4082545121726803E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7945066918748624E+000                  2.4167496923821793E-001                  5.4477261733881635E-002                  4.4082943498829943E+000                  0.0000000000000000E+000                  1.7238193402049674E+001                  1.9138501346200041E+000                  7.1914706412667648E+000                  6.1537693011666228E-001                  8.5597660756579308E-001                  1.2814987583597139E+000                  7.1194323135660675E-001                  2.6900176553091920E-001                  2.4145420416857641E-004                  8.4004125559505437E-003                  3.1997608693791930E-003                  8.7079956445738679E-003                  8.5470415625827645E-001                  3.2251419641332163E-001                  1.2741639830789802E+002                  2.7873162982344725E+003                                        0                                        3 
                                      20                                      813                  7.9110408863767413E+006                  6.1303993007301276E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  3.3077037123777596E-002                  2.5824760582979889E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9653931777641636E-001                  2.5824760582979889E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9653931777641636E-001                  2.2126375844480986E-001                 -4.4084717554125163E+001                 -9.8999999999999986E+001                  2.2126375844480969E-001                  2.0452268473640020E-001                 -1.2010808927281804E+000                 -4.4084717554125163E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7941195739340383E+000                  2.2625247791084055E-001                  4.7540251951840806E-002                  4.4221683694470757E+000                  0.0000000000000000E+000                  1.7245995822149826E+001                  1.9221548711349696E+000                  7.1910847708556078E+000                  6.1563124614223175E-001                  8.5570767687114557E-001                  1.2821740017408472E+000                  7.1140628186790733E-001                  2.6950922071628908E-001                  5.1796858583741569E-005                  8.4001102868031096E-003                  3.1986292473438036E-003                  8.7049159895128403E-003                  8.5461938946380789E-001                  3.2258527459486414E-001                  1.3044796819541591E+002                  2.8790806638981462E+003                                        0                                        5 
                                      25                                      805                  1.9968252104495250E+007                  6.5263055309682514E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  1.4916538223580094E-002                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9672960548789857E-001                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9672960548789857E-001                  2.2990596000114755E-001                 -4.4031239124403974E+001                 -1.5352529778863040E+001                  2.2990596000114766E-001                  2.1983493520422612E-001                 -1.4098304675782902E+000                 -4.4031239124403974E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7946324780788698E+000                  2.3065715753328014E-001                  4.8716783473397030E-002                  4.4198153064039634E+000                  0.0000000000000000E+000                  1.7253187818141413E+001                  1.9290916172310542E+000                  7.1917817605994516E+000                  6.1632482106886877E-001                  8.5496986830784438E-001                  1.2839979647840227E+000                  7.0993161372375335E-001                  2.7097960874735905E-001                  1.8200848470820457E-005                  8.3985201230066357E-003                  3.1956583874211530E-003                  8.6968309368094798E-003                  8.5441202447567000E-001                  3.2277265149560741E-001                  1.2990287243967620E+002                  2.8618332004166932E+003                                        0                                        5 
                                      30                                      805                  4.9970451922763892E+007                  6.9222117612063760E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  1.3998204379230722E-002                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9679970424416564E-001                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9679970424416564E-001                  2.3347461827345675E-001                 -4.3967899837342806E+001                 -9.8999999999999986E+001                  2.3347461827345661E-001                  2.2638029355481079E-001                 -1.5569409637903349E+000                 -4.3967899837342806E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7947616734910850E+000                  2.3355418374614301E-001                  4.9906905755398891E-002                  4.4174350618399600E+000                  0.0000000000000000E+000                  1.7256102754463626E+001                  1.9323990178643278E+000                  7.1926369709042373E+000                  6.1811696496721857E-001                  8.5307239451683725E-001                  1.2887085589184091E+000                  7.0613681343636514E-001                  2.7477111395877896E-001                  1.8066116010575389E-005                  8.3937429891931363E-003                  3.1881873379607313E-003                  8.6764988342500956E-003                  8.5390124894505937E-001                  3.2325374984361305E-001                  1.2937422073308664E+002                  2.8457678943313572E+003                                        0                                       10 
                                      35                                      805                  1.2462552577455810E+008                  7.3181179914444998E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  1.4055676524200249E-002                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9687326229490325E-001                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9687326229490325E-001                  2.3814959905769628E-001                 -4.3836216994702191E+001                 -1.5352529778863040E+001                  2.3814959905769639E-001                  2.3224247749761184E-001                 -1.6312090171461107E+000                 -4.3836216994702191E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7948810344585002E+000                  2.3820880476292916E-001                  5.1995494328960445E-002                  4.4132578846928370E+000                  0.0000000000000000E+000                  1.7260588907005033E+001                  1.9383616822600929E+000                  7.1943195293267550E+000                  6.2265835534141412E-001                  8.4831979700655258E-001                  1.3006601834128042E+000                  6.9663192064295065E-001                  2.8426796953752986E-001                  1.8263674266821248E-005                  8.3806763116733435E-003                  3.1693170763880335E-003                  8.6251443229928490E-003                  8.5263643907467490E-001                  3.2447643533026899E-001                  1.2845312735253162E+002                  2.8181403472068732E+003                                        0                                       10 
                                      40                                      805                  3.1039123914145470E+008                  7.7140242216826236E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  1.3606227756377509E-002                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9703401832318517E-001                  1.1115641954684841E-002                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9703401832318517E-001                  2.4806179720116694E-001                 -4.3509775446939564E+001                 -1.5653559774527022E+001                  2.4806179720116700E-001                  2.4200406929689647E-001                 -1.6104380952233210E+000                 -4.3509775446939564E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7951256156680615E+000                  2.4812470303388956E-001                  5.6464281045319746E-002                  4.4043203112601184E+000                  0.0000000000000000E+000                  1.7271286430881013E+001                  1.9528679713221737E+000                  7.1985807694485349E+000                  6.3436980090277428E-001                  8.3632661323304291E-001                  1.3318285421123466E+000                  6.7264627825295076E-001                  3.0823526143603364E-001                  1.8790489452783426E-005                  8.3404501009115509E-003                  3.1222014306708777E-003                  8.4969213543258631E-003                  8.4945990219883172E-001                  3.2759487739485260E-001                  1.2649997988385978E+002                  2.7599597828561546E+003                                        0                                       10 
                                      45                                      802                  6.9435413741143715E+008                  7.8854213077654185E+000                  1.2000000000000000E+000                  3.3377687156408292E+001                 -9.8999999999999986E+001                  1.1386238068606256E-002                  9.4248772611763565E-003                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9736385018806861E-001                  9.4248772611763565E-003                  9.9493838199397854E-008                  9.9999999997418776E-001                  9.9736385018806861E-001                  2.6812856147919240E-001                 -4.2822055112293718E+001                 -9.8999999999999986E+001                  2.6812856147919223E-001                  2.6009168825875878E-001                 -1.4685808719889988E+000                 -4.2822055112293718E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7955486731031365E+000                  2.6818327838088579E-001                  6.5647453848666756E-002                  4.3859539656534237E+000                  0.0000000000000000E+000                  1.7294307851582275E+001                  1.9846695526482792E+000                  7.2079385940853271E+000                  6.6144240556010148E-001                  8.1014907352364129E-001                  1.4053309767945636E+000                  6.2029269156988132E-001                  3.6055715205705580E-001                  2.0209785929094783E-005                  8.2080988981287090E-003                  3.0240472731194764E-003                  8.2297995251185887E-003                  8.4267968164317242E-001                  3.3430771761188915E-001                  1.2257932029130775E+002                  2.6443861836759529E+003                                        0                                       10 
