                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                        l                      n_pg                       n_p                       n_g                  Re(freq)                  Im(freq)                    E_norm
                        0                         8                         8                         0   0.1061190630303934E+004   0.0000000000000000E+000   0.1482233430757292E-005
                        0                         9                         9                         0   0.1180289360233767E+004   0.0000000000000000E+000   0.6157155486954539E-006
                        0                        10                        10                         0   0.1295822442949839E+004   0.0000000000000000E+000   0.2708605150906881E-006
                        0                        11                        11                         0   0.1409102967181720E+004   0.0000000000000000E+000   0.1350605982615729E-006
                        0                        12                        12                         0   0.1521768587449924E+004   0.0000000000000000E+000   0.7875981002949030E-007
                        0                        13                        13                         0   0.1634841726383569E+004   0.0000000000000000E+000   0.4951333472986376E-007
                        0                        14                        14                         0   0.1748135621622166E+004   0.0000000000000000E+000   0.3204398415684978E-007
                        0                        15                        15                         0   0.1860160540358118E+004   0.0000000000000000E+000   0.2196568512294353E-007
                        0                        16                        16                         0   0.1971550028638580E+004   0.0000000000000000E+000   0.1649891962631756E-007
                        0                        17                        17                         0   0.2083695773826782E+004   0.0000000000000000E+000   0.1355519043667145E-007
                        0                        18                        18                         0   0.2196566966205750E+004   0.0000000000000000E+000   0.1163836795855237E-007
                        0                        19                        19                         0   0.2309965531403300E+004   0.0000000000000000E+000   0.1014299527297757E-007
                        0                        20                        20                         0   0.2423433035133402E+004   0.0000000000000000E+000   0.9080782996147020E-008
                        0                        21                        21                         0   0.2536899129277116E+004   0.0000000000000000E+000   0.8393128417669086E-008
                        0                        22                        22                         0   0.2650868725964051E+004   0.0000000000000000E+000   0.7995230710121419E-008
                        0                        23                        23                         0   0.2765190164874905E+004   0.0000000000000000E+000   0.7786651229477223E-008
                        0                        24                        24                         0   0.2879812917173455E+004   0.0000000000000000E+000   0.7659122804489679E-008
                        0                        25                        25                         0   0.2994741769219337E+004   0.0000000000000000E+000   0.7623547524934060E-008
                        0                        26                        26                         0   0.3109708975168282E+004   0.0000000000000000E+000   0.7664833001314161E-008
                        0                        27                        27                         0   0.3224829415371309E+004   0.0000000000000000E+000   0.7774716428457517E-008
                        0                        28                        28                         0   0.3339964484675698E+004   0.0000000000000000E+000   0.7998198036069695E-008
                        0                        29                        29                         0   0.3454965400474137E+004   0.0000000000000000E+000   0.8334353792739740E-008
                        0                        30                        30                         0   0.3569781449290188E+004   0.0000000000000000E+000   0.8861371944456726E-008
                        0                        31                        31                         0   0.3683550630368413E+004   0.0000000000000000E+000   0.9856948586834784E-008
                        1                         8                         7                         0   0.1113857570166254E+004   0.0000000000000000E+000   0.1008095379896305E-005
                        1                         9                         8                         0   0.1231706876173102E+004   0.0000000000000000E+000   0.4209938436298156E-006
                        1                        10                         9                         0   0.1346500032847248E+004   0.0000000000000000E+000   0.1947531142032490E-006
                        1                        11                        10                         0   0.1459181087982925E+004   0.0000000000000000E+000   0.1044654071382155E-006
                        1                        12                        11                         0   0.1572523747237144E+004   0.0000000000000000E+000   0.6324764360813686E-007
                        1                        13                        12                         0   0.1686190630148391E+004   0.0000000000000000E+000   0.4049458819944807E-007
                        1                        14                        13                         0   0.1799158356309792E+004   0.0000000000000000E+000   0.2662512331641411E-007
                        1                        15                        14                         0   0.1911265456630192E+004   0.0000000000000000E+000   0.1894222534825450E-007
                        1                        16                        15                         0   0.2023128881553296E+004   0.0000000000000000E+000   0.1492731954033149E-007
                        1                        17                        16                         0   0.2135950330659008E+004   0.0000000000000000E+000   0.1253763373493277E-007
                        1                        18                        17                         0   0.2249587125434331E+004   0.0000000000000000E+000   0.1086318777041175E-007
                        1                        19                        18                         0   0.2363244644346034E+004   0.0000000000000000E+000   0.9574246797265054E-008
                        1                        20                        19                         0   0.2477052705440203E+004   0.0000000000000000E+000   0.8677132706403860E-008
                        1                        21                        20                         0   0.2591054329824658E+004   0.0000000000000000E+000   0.8162860672045375E-008
                        1                        22                        21                         0   0.2705417449254390E+004   0.0000000000000000E+000   0.7859434226554126E-008
                        1                        23                        22                         0   0.2820265837985079E+004   0.0000000000000000E+000   0.7692929366860439E-008
                        1                        24                        23                         0   0.2935257875030348E+004   0.0000000000000000E+000   0.7623574879421956E-008
                        1                        25                        24                         0   0.3050458193191403E+004   0.0000000000000000E+000   0.7613320993794976E-008
                        1                        26                        25                         0   0.3165786804540380E+004   0.0000000000000000E+000   0.7696231438226877E-008
                        1                        27                        26                         0   0.3281056893666185E+004   0.0000000000000000E+000   0.7861140083222775E-008
                        1                        28                        27                         0   0.3396385548529026E+004   0.0000000000000000E+000   0.8128007749825534E-008
                        1                        29                        28                         0   0.3511498403667739E+004   0.0000000000000000E+000   0.8556585707193277E-008
                        1                        30                        29                         0   0.3626085830059040E+004   0.0000000000000000E+000   0.9240175545126865E-008
                        2                         7                         7                         0   0.1051319596012743E+004   0.0000000000000000E+000   0.1588437375769064E-005
                        2                         8                         8                         0   0.1170799971336919E+004   0.0000000000000000E+000   0.6599895481204031E-006
                        2                         9                         9                         0   0.1286767727398355E+004   0.0000000000000000E+000   0.2872420207132472E-006
                        2                        10                        10                         0   0.1400455045444044E+004   0.0000000000000000E+000   0.1413905030046540E-006
                        2                        11                        11                         0   0.1513243526020753E+004   0.0000000000000000E+000   0.8160361481218930E-007
                        2                        12                        12                         0   0.1626572713306124E+004   0.0000000000000000E+000   0.5099349686660193E-007
                        2                        13                        13                         0   0.1740235073540009E+004   0.0000000000000000E+000   0.3291825577736597E-007
                        2                        14                        14                         0   0.1852626686157610E+004   0.0000000000000000E+000   0.2240777359267776E-007
                        2                        15                        15                         0   0.1964393695140247E+004   0.0000000000000000E+000   0.1669485099096264E-007
                        2                        16                        16                         0   0.2076832397583467E+004   0.0000000000000000E+000   0.1365660170558669E-007
                        2                        17                        17                         0   0.2190021609405141E+004   0.0000000000000000E+000   0.1169485446768440E-007
                        2                        18                        18                         0   0.2303815300474424E+004   0.0000000000000000E+000   0.1017925228969074E-007
                        2                        19                        19                         0   0.2417647792605553E+004   0.0000000000000000E+000   0.9097602574455002E-008
                        2                        20                        20                         0   0.2531484892277962E+004   0.0000000000000000E+000   0.8389421102781062E-008
                        2                        21                        21                         0   0.2645815661348945E+004   0.0000000000000000E+000   0.7983790664596236E-008
                        2                        22                        22                         0   0.2760477819215910E+004   0.0000000000000000E+000   0.7769634976296581E-008
                        2                        23                        23                         0   0.2875461053843302E+004   0.0000000000000000E+000   0.7638634580454580E-008
                        2                        24                        24                         0   0.2990729767691857E+004   0.0000000000000000E+000   0.7602682851671410E-008
                        2                        25                        25                         0   0.3106027953932567E+004   0.0000000000000000E+000   0.7641053047170114E-008
                        2                        26                        26                         0   0.3221476708455023E+004   0.0000000000000000E+000   0.7749914158507766E-008
                        2                        27                        27                         0   0.3336913351248580E+004   0.0000000000000000E+000   0.7971918460805172E-008
                        2                        28                        28                         0   0.3452212636657875E+004   0.0000000000000000E+000   0.8304797788566945E-008
                        2                        29                        29                         0   0.3567314731867860E+004   0.0000000000000000E+000   0.8828151224696011E-008
                        2                        30                        30                         0   0.3681376036136258E+004   0.0000000000000000E+000   0.9807217865841904E-008
                        3                         7                         7                         0   0.1097951521663762E+004   0.0000000000000000E+000   0.1124164914722496E-005
                        3                         8                         8                         0   0.1217056431976727E+004   0.0000000000000000E+000   0.4657409133546350E-006
                        3                         9                         9                         0   0.1332608372977086E+004   0.0000000000000000E+000   0.2117270898150824E-006
                        3                        10                        10                         0   0.1445903076001649E+004   0.0000000000000000E+000   0.1109707223903372E-006
                        3                        11                        11                         0   0.1559591232970053E+004   0.0000000000000000E+000   0.6653365157383028E-007
                        3                        12                        12                         0   0.1673544591821483E+004   0.0000000000000000E+000   0.4238339163312045E-007
                        3                        13                        13                         0   0.1787063115148299E+004   0.0000000000000000E+000   0.2766952725849765E-007
                        3                        14                        14                         0   0.1899585860508153E+004   0.0000000000000000E+000   0.1948682460938427E-007
                        3                        15                        15                         0   0.2011715289709713E+004   0.0000000000000000E+000   0.1518330691143976E-007
                        3                        16                        16                         0   0.2124846088410963E+004   0.0000000000000000E+000   0.1268794256425420E-007
                        3                        17                        17                         0   0.2238772414638195E+004   0.0000000000000000E+000   0.1097516598756827E-007
                        3                        18                        18                         0   0.2352802911757802E+004   0.0000000000000000E+000   0.9641108206064820E-008
                        3                        19                        19                         0   0.2466995471729734E+004   0.0000000000000000E+000   0.8712860725521280E-008
                        3                        20                        20                         0   0.2581310207530540E+004   0.0000000000000000E+000   0.8171513215964730E-008
                        3                        21                        21                         0   0.2696028566303385E+004   0.0000000000000000E+000   0.7850751452764811E-008
                        3                        22                        22                         0   0.2811219173242295E+004   0.0000000000000000E+000   0.7680182054838384E-008
                        3                        23                        23                         0   0.2926549231578950E+004   0.0000000000000000E+000   0.7602144391039934E-008
                        3                        24                        24                         0   0.3042120141948022E+004   0.0000000000000000E+000   0.7587147822011281E-008
                        3                        25                        25                         0   0.3157787164437369E+004   0.0000000000000000E+000   0.7666296817523160E-008
                        3                        26                        26                         0   0.3273413036295025E+004   0.0000000000000000E+000   0.7822459915761238E-008
                        3                        27                        27                         0   0.3389100072298376E+004   0.0000000000000000E+000   0.8083947551110021E-008
                        3                        28                        28                         0   0.3504554837083029E+004   0.0000000000000000E+000   0.8501422232385110E-008
                        3                        29                        29                         0   0.3619530479811111E+004   0.0000000000000000E+000   0.9161545700076695E-008
