                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                        l                      n_pg                       n_p                       n_g                  Re(freq)                  Im(freq)                    E_norm
                        0                         9                         9                         0   0.1040774121120168E+004   0.0000000000000000E+000   0.4743480346677580E-006
                        0                        10                        10                         0   0.1141000667975795E+004   0.0000000000000000E+000   0.2142698608786826E-006
                        0                        11                        11                         0   0.1239653986462742E+004   0.0000000000000000E+000   0.1139286178016561E-006
                        0                        12                        12                         0   0.1339012882741385E+004   0.0000000000000000E+000   0.6893878480205505E-007
                        0                        13                        13                         0   0.1438549481459256E+004   0.0000000000000000E+000   0.4374855419277724E-007
                        0                        14                        14                         0   0.1537375404586236E+004   0.0000000000000000E+000   0.2878528663831810E-007
                        0                        15                        15                         0   0.1635406771623296E+004   0.0000000000000000E+000   0.2092004704855945E-007
                        0                        16                        16                         0   0.1733611474264141E+004   0.0000000000000000E+000   0.1687013336032237E-007
                        0                        17                        17                         0   0.1832893084486871E+004   0.0000000000000000E+000   0.1435258255765890E-007
                        0                        18                        18                         0   0.1932698238970499E+004   0.0000000000000000E+000   0.1250562187752208E-007
                        0                        19                        19                         0   0.2032429010314983E+004   0.0000000000000000E+000   0.1112285430528089E-007
                        0                        20                        20                         0   0.2132393876023572E+004   0.0000000000000000E+000   0.1025136703459195E-007
                        0                        21                        21                         0   0.2232631334027123E+004   0.0000000000000000E+000   0.9801586453833751E-008
                        0                        22                        22                         0   0.2333237189176160E+004   0.0000000000000000E+000   0.9542284372110499E-008
                        0                        23                        23                         0   0.2434267774800051E+004   0.0000000000000000E+000   0.9424549868686645E-008
                        0                        24                        24                         0   0.2535366752214477E+004   0.0000000000000000E+000   0.9419923742735239E-008
                        0                        25                        25                         0   0.2636613228359707E+004   0.0000000000000000E+000   0.9484417961492986E-008
                        0                        26                        26                         0   0.2737984157628701E+004   0.0000000000000000E+000   0.9689134128572446E-008
                        0                        27                        27                         0   0.2839217402361431E+004   0.0000000000000000E+000   0.1003109273010459E-007
                        0                        28                        28                         0   0.2940420368300026E+004   0.0000000000000000E+000   0.1054227977967999E-007
                        0                        29                        29                         0   0.3041196071024950E+004   0.0000000000000000E+000   0.1143158018772231E-007
                        1                         9                         8                         0   0.1083825188810597E+004   0.0000000000000000E+000   0.3311610109590561E-006
                        1                        10                         9                         0   0.1183442287598412E+004   0.0000000000000000E+000   0.1595637645541415E-006
                        1                        11                        10                         0   0.1282245872572055E+004   0.0000000000000000E+000   0.9099613925828658E-007
                        1                        12                        11                         0   0.1381937711572219E+004   0.0000000000000000E+000   0.5628556192078346E-007
                        1                        13                        12                         0   0.1481666778158922E+004   0.0000000000000000E+000   0.3609597522199450E-007
                        1                        14                        13                         0   0.1580152108200738E+004   0.0000000000000000E+000   0.2466041363198692E-007
                        1                        15                        14                         0   0.1678408437443765E+004   0.0000000000000000E+000   0.1874969360426431E-007
                        1                        16                        15                         0   0.1777457853477365E+004   0.0000000000000000E+000   0.1561137971271740E-007
                        1                        17                        16                         0   0.1877236395021994E+004   0.0000000000000000E+000   0.1343896270674992E-007
                        1                        18                        17                         0   0.1977435424677889E+004   0.0000000000000000E+000   0.1176674799019218E-007
                        1                        19                        18                         0   0.2077573996357115E+004   0.0000000000000000E+000   0.1064921408863697E-007
                        1                        20                        19                         0   0.2177877760127582E+004   0.0000000000000000E+000   0.9974107354665020E-008
                        1                        21                        20                         0   0.2278734355972822E+004   0.0000000000000000E+000   0.9623338982661203E-008
                        1                        22                        21                         0   0.2379846020384869E+004   0.0000000000000000E+000   0.9456679182512297E-008
                        1                        23                        22                         0   0.2481224877655996E+004   0.0000000000000000E+000   0.9369901258068218E-008
                        1                        24                        23                         0   0.2582848869687913E+004   0.0000000000000000E+000   0.9403985191900800E-008
                        1                        25                        24                         0   0.2684417483131091E+004   0.0000000000000000E+000   0.9544336263330818E-008
                        1                        26                        25                         0   0.2786087907961227E+004   0.0000000000000000E+000   0.9788163672443321E-008
                        1                        27                        26                         0   0.2887724642482525E+004   0.0000000000000000E+000   0.1022139385018616E-007
                        1                        28                        27                         0   0.2989007426248770E+004   0.0000000000000000E+000   0.1088221385497428E-007
                        1                        29                        28                         0   0.3089541926807462E+004   0.0000000000000000E+000   0.1210342937372013E-007
                        2                         8                         8                         0   0.1032375104237608E+004   0.0000000000000000E+000   0.5085536353111435E-006
                        2                         9                         9                         0   0.1133034499100728E+004   0.0000000000000000E+000   0.2264940872622877E-006
                        2                        10                        10                         0   0.1232023668073476E+004   0.0000000000000000E+000   0.1185715087887146E-006
                        2                        11                        11                         0   0.1331545925048749E+004   0.0000000000000000E+000   0.7128923083943360E-007
                        2                        12                        12                         0   0.1431323911385364E+004   0.0000000000000000E+000   0.4505522793737650E-007
                        2                        13                        13                         0   0.1530545728482836E+004   0.0000000000000000E+000   0.2946801682952340E-007
                        2                        14                        14                         0   0.1628875822521897E+004   0.0000000000000000E+000   0.2123666331869054E-007
                        2                        15                        15                         0   0.1727342028049627E+004   0.0000000000000000E+000   0.1700207071379634E-007
                        2                        16                        16                         0   0.1826940096831638E+004   0.0000000000000000E+000   0.1442912104999592E-007
                        2                        17                        17                         0   0.1927079686305578E+004   0.0000000000000000E+000   0.1255379240382690E-007
                        2                        18                        18                         0   0.2027202780398189E+004   0.0000000000000000E+000   0.1113609586056747E-007
                        2                        19                        19                         0   0.2127559612977117E+004   0.0000000000000000E+000   0.1024380689531791E-007
                        2                        20                        20                         0   0.2228166587463168E+004   0.0000000000000000E+000   0.9777716143396834E-008
                        2                        21                        21                         0   0.2329183705605983E+004   0.0000000000000000E+000   0.9509354496311264E-008
                        2                        22                        22                         0   0.2430624310320963E+004   0.0000000000000000E+000   0.9390319327256092E-008
                        2                        23                        23                         0   0.2532132761709922E+004   0.0000000000000000E+000   0.9380159474086435E-008
                        2                        24                        24                         0   0.2633811031783666E+004   0.0000000000000000E+000   0.9441758599636990E-008
                        2                        25                        25                         0   0.2735596818572417E+004   0.0000000000000000E+000   0.9645199036078967E-008
                        2                        26                        26                         0   0.2837245209218342E+004   0.0000000000000000E+000   0.9982583552540726E-008
                        2                        27                        27                         0   0.2938866000413987E+004   0.0000000000000000E+000   0.1049166803648810E-007
                        2                        28                        28                         0   0.3040043030167959E+004   0.0000000000000000E+000   0.1137578519411616E-007
                        3                         8                         8                         0   0.1071679811348909E+004   0.0000000000000000E+000   0.3625413400443185E-006
                        3                         9                         9                         0   0.1172199055174010E+004   0.0000000000000000E+000   0.1708650518980746E-006
                        3                        10                        10                         0   0.1271523878339658E+004   0.0000000000000000E+000   0.9553277280813728E-007
                        3                        11                        11                         0   0.1371754884050019E+004   0.0000000000000000E+000   0.5868579208920625E-007
                        3                        12                        12                         0   0.1471988366304338E+004   0.0000000000000000E+000   0.3748418020123994E-007
                        3                        13                        13                         0   0.1571003555591209E+004   0.0000000000000000E+000   0.2532247999152066E-007
                        3                        14                        14                         0   0.1669672607365028E+004   0.0000000000000000E+000   0.1905160975990420E-007
                        3                        15                        15                         0   0.1768989677762437E+004   0.0000000000000000E+000   0.1577062298088438E-007
                        3                        16                        16                         0   0.1869122688027412E+004   0.0000000000000000E+000   0.1353650997635786E-007
                        3                        17                        17                         0   0.1969719443120988E+004   0.0000000000000000E+000   0.1183452289275732E-007
                        3                        18                        18                         0   0.2070209052384262E+004   0.0000000000000000E+000   0.1067527497504525E-007
                        3                        19                        19                         0   0.2170890329004087E+004   0.0000000000000000E+000   0.9967444549014756E-008
                        3                        20                        20                         0   0.2272096887198610E+004   0.0000000000000000E+000   0.9606893607697882E-008
                        3                        21                        21                         0   0.2373550849488145E+004   0.0000000000000000E+000   0.9428457684554029E-008
                        3                        22                        22                         0   0.2475315190061865E+004   0.0000000000000000E+000   0.9335822111951127E-008
                        3                        23                        23                         0   0.2577293950072836E+004   0.0000000000000000E+000   0.9368646969044520E-008
                        3                        24                        24                         0   0.2679220942229690E+004   0.0000000000000000E+000   0.9499504430072679E-008
                        3                        25                        25                         0   0.2781269216832880E+004   0.0000000000000000E+000   0.9738638549164506E-008
                        3                        26                        26                         0   0.2883253153459247E+004   0.0000000000000000E+000   0.1016553171230716E-007
                        3                        27                        27                         0   0.2984903387348352E+004   0.0000000000000000E+000   0.1080979037638889E-007
                        3                        28                        28                         0   0.3085850877876935E+004   0.0000000000000000E+000   0.1199392584110169E-007
